X,Y,OBJECTID,MAR_WARD,ADDRESS,PROJECT_NAME,STATUS_PUBLIC,AGENCY_CALCULATED,TOTAL_AFFORDABLE_UNITS,LATITUDE,LONGITUDE,AFFORDABLE_UNITS_AT_0_30_AMI,AFFORDABLE_UNITS_AT_31_50_AMI,AFFORDABLE_UNITS_AT_51_60_AMI,AFFORDABLE_UNITS_AT_61_80_AMI,AFFORDABLE_UNITS_AT_81_AMI,CASE_ID,ADDRESS_ID,XCOORD,YCOORD,FULLADDRESS,GIS_LAST_MOD_DTTM
-77.0143017620435,38.9052762469642,231,Ward 6,"216 New York Ave NW, Washington, District of Columbia 20001",SOME Scattered Site Phase II,Completed 2015 to Date,DCHA DCHFA DHCD,98,38.90526879,-77.01429947,69,29,0,0,0,,285530,398759.7,137490.24,216 NEW YORK AVENUE NW,2020/08/31 04:00:41+00
-77.0080262040655,38.830932603009,232,Ward 8,"4001 South Capitol Street Southwest, Washington, District of Columbia 20032",South Capitol Multi-Family Building,Under Construction,DCHA DCHFA DHCD,195,38.83092483,-77.00802392,78,78,39,0,0,,276615,399303.3,129237.48,4001 SOUTH CAPITOL STREET SW,2020/08/31 04:00:41+00
-77.0296271390809,38.8820673517721,235,Ward 6,"1300 Maine Ave SW, Washington, District of Columbia 20024",The Wharf Phase I,Completed 2015 to Date,DMPED OP,185,38.88212423,-77.02959894,63,0,73,49,0,11-03A,302192,397429.58,134914.19,1300 MAINE AVENUE SW,2020/08/31 04:00:41+00
-76.9913080099696,38.8323115713242,247,Ward 8,"852 Barnaby Street Southeast, Washington, District of Columbia 20032",The Gregory Apartments,Completed 2015 to Date,DCHFA DHCD,124,38.83230413,-76.99130573,41,41,42,0,0,,295928,400754.89,129390.56,852 BARNABY STREET SE,2020/08/31 04:00:41+00
-76.9972879111951,38.8772713169869,252,Ward 6,"601 L Street Southeast, Washington, District of Columbia 20003",The Bixby,Completed 2015 to Date,DMPED DCHA DCHFA DHCD,39,38.87726387,-76.99728563,39,0,0,0,0,,289693,400235.53,134381.38,601 L STREET SE,2020/08/31 04:00:41+00
-77.0327552763049,38.907544886756,254,Ward 2,"1417 N St NW, Washington, District of Columbia 20005",The Norwood,Completed 2015 to Date,DHCD,84,38.90753743,-77.03275298,0,55,0,26,3,,218263,397159.18,137742.49,1417 N STREET NW,2020/08/31 04:00:41+00
-77.0115468441648,38.9028197935174,257,Ward 6,"43 K St NW, Washington, District of Columbia 20001",The SeVerna Phase II (The SeVerna II LLC/Golden Rule Apartments Inc.),Completed 2015 to Date,DMPED DCHFA DHCD,101,38.90281234,-77.01154456,48,0,53,0,0,,310112,398998.62,137217.52,43 K STREET NW,2020/08/31 04:00:41+00
-77.0007753147712,38.8742974032269,264,Ward 6,"1331 4th St SE, Washington, District of Columbia 20003",The Yards N Building,Completed 2015 to Date,DMPED DCHFA DHCD,66,38.87428995,-77.00077303,0,0,66,0,0,,310978,399932.92,134051.25,1331 4TH STREET SE,2020/08/31 04:00:41+00
-76.9842338917092,38.8442315382607,266,Ward 8,"1443 Savannah St SE, Washington, District of Columbia 20032",Tobias Henson Apts.,Completed 2015 to Date,DHCD,64,38.8442241,-76.98423162,0,56,8,0,0,,63162,401368.88,130713.84,1443 SAVANNAH STREET SE,2020/08/31 04:00:41+00
-76.9851766423327,38.902394139706,268,Ward 5,"1214 Staples Street Northeast, Washington, District of Columbia 20002",Trinidad Properties (w/ PADD),Completed 2015 to Date,DHCD,9,38.90238668,-76.98517436,0,0,9,0,0,,71425,401285.99,137170.31,1214 STAPLES STREET NE,2020/08/31 04:00:41+00
-77.0083222719634,38.8316253940525,269,Ward 8,"3939 South Capitol Street Southwest, Washington, District of Columbia 20032",Trinity Plaza (Retail Worker Housing Demo Initiative),Completed 2015 to Date,DCHFA DHCD,49,38.83161762,-77.00831999,17,27,0,5,0,,,399277.600078651,129314.386754502,,2020/08/31 04:00:41+00
-77.0093782870793,38.9101897898684,270,Ward 6,"1522 North Capitol Street Northwest, Washington, District of Columbia 20002",Cycle House,Pipeline,DMPED DHCD,16,38.910182,-77.009376,2,3,11,0,0,,,399186.805614344,138035.627898457,,2020/08/31 04:00:41+00
-77.0094360764393,38.9064031455438,271,Ward 6,"1200 North Capitol St NW, Washington, District of Columbia 20002",Tyler House Apartments,Completed 2015 to Date,DCHFA,284,38.90639569,-77.00943379,0,0,284,0,0,,237128,399181.75,137615.28,1200 NORTH CAPITOL STREET NW,2020/08/31 04:00:41+00
-77.030061079307,38.9625192258246,275,Ward 4,"5922 13th St NW, Washington, District of Columbia 20011",Valencia Apartments,Completed 2015 to Date,DHCD,29,38.96249626,-77.03007701,0,0,29,0,0,,243483,397394.87,143845.04,5922 13TH STREET NW,2020/08/31 04:00:41+00
-76.9508681431314,38.9223318298295,284,Ward 5,"3814 Fort Lincoln Drive Northeast, Washington, District of Columbia 20018",Villages at Dakota Crossing Phase III,Completed 2015 to Date,DMPED,24,38.92233336,-76.95083508,0,0,0,24,0,,310077,404260.75,139384.6,3814 FORT LINCOLN DRIVE NE,2020/08/31 04:00:41+00
-77.0330557832869,38.9673565685914,285,Ward 4,"1388 Tuckerman Street Northwest, Washington, District of Columbia 20011",Vizcaya Apartments,Completed 2015 to Date,DHCD,17,38.9673491,-77.03305349,0,0,17,0,0,,257527,397135.52,144382.12,1388 TUCKERMAN STREET NW,2020/08/31 04:00:41+00
-77.0288522533334,38.9765894132485,288,Ward 4,"6900 Georgia Ave NW, Washington, District of Columbia 20012",Walter Reed - Developer only,Under Construction,DMPED DHCD,318,38.97658194,-77.02884996,0,139,0,179,0,,292768,397500.13,145406.93,6900 GEORGIA AVENUE NW,2020/08/31 04:00:41+00
